theta_0,theta_1,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.4052631578947369,-6.578947368421053,0.578075,5.0,0.08163109160558293,0.0,0.0,0.059,0.002,0.182,1.672,0.05,0.155,0.027
0.4210526315789474,-6.578947368421053,0.556653,5.0,0.08913670707911028,0.0,0.0,0.059,0.002,0.189,1.672,0.05,0.163,0.03
0.4368421052631579,-6.578947368421053,0.536758,5.0,0.09716920431307499,0.0,0.0,0.06,0.002,0.197,1.672,0.05,0.172,0.033
0.45263157894736844,-6.578947368421053,0.518252,5.0,0.1057726882754218,0.0,0.0,0.061,0.002,0.205,1.672,0.05,0.182,0.037
0.46842105263157896,-6.578947368421053,0.500475,5.0,0.11499550733954994,0.0,0.0,0.062,0.002,0.214,1.672,0.05,0.192,0.041
0.4842105263157895,-6.578947368421053,0.484282,5.0,0.12489097684000292,0.0,0.0,0.062,0.002,0.224,1.672,0.05,0.203,0.045
0.5,-6.578947368421053,0.469102,5.0,0.13551763947313092,0.0,0.0,0.063,0.002,0.234,1.672,0.05,0.214,0.05
0.2,-6.368421052631579,1.165559,5.0,0.020962853100330178,0.0,0.0,0.046,0.003,0.132,1.701,0.056,0.079,0.009
0.21578947368421053,-6.368421052631579,1.082436,5.0,0.024647584520716307,0.0,0.0,0.049,0.003,0.136,1.701,0.056,0.086,0.01
0.23157894736842105,-6.368421052631579,1.009886,5.0,0.028601410748896897,0.0,0.0,0.051,0.003,0.141,1.701,0.056,0.092,0.011
0.2473684210526316,-6.368421052631579,0.946475,5.0,0.03283372010526575,0.0,0.0,0.053,0.003,0.145,1.701,0.056,0.099,0.012
0.26315789473684215,-6.368421052631579,0.89072,5.0,0.037356697046553825,0.0,0.0,0.055,0.003,0.15,1.701,0.056,0.106,0.013
0.2789473684210526,-6.368421052631579,0.841503,5.0,0.042185162508529404,0.0,0.0,0.057,0.003,0.155,1.701,0.056,0.113,0.015
0.2947368421052632,-6.368421052631579,0.796307,5.0,0.04733651621327382,0.0,0.0,0.058,0.003,0.16,1.701,0.056,0.12,0.016
0.3105263157894737,-6.368421052631579,0.756333,5.0,0.05283071221388522,0.0,0.0,0.06,0.003,0.166,1.701,0.056,0.128,0.018
0.3263157894736842,-6.368421052631579,0.720195,5.0,0.05869034612883572,0.0,0.0,0.061,0.003,0.172,1.701,0.056,0.135,0.02
0.34210526315789475,-6.368421052631579,0.68737,5.0,0.06494075113383127,0.0,0.0,0.062,0.003,0.178,1.701,0.056,0.143,0.022
0.35789473684210527,-6.368421052631579,0.657422,5.0,0.0716101539715593,0.0,0.0,0.064,0.003,0.185,1.701,0.056,0.151,0.024
0.37368421052631584,-6.368421052631579,0.62999,5.0,0.07872986792723154,0.0,0.0,0.065,0.003,0.192,1.701,0.056,0.16,0.027
0.3894736842105263,-6.368421052631579,0.604766,5.0,0.08633452324077669,0.0,0.0,0.066,0.003,0.2,1.701,0.056,0.169,0.029
0.4052631578947369,-6.368421052631579,0.58149,5.0,0.09446233595150864,0.0,0.0,0.067,0.003,0.208,1.701,0.056,0.178,0.033
0.4210526315789474,-6.368421052631579,0.559937,5.0,0.10315542517556686,0.0,0.0,0.068,0.003,0.216,1.701,0.056,0.188,0.036
0.4368421052631579,-6.368421052631579,0.539931,5.0,0.11246011460414147,0.0,0.0,0.068,0.003,0.225,1.701,0.056,0.198,0.04
0.45263157894736844,-6.368421052631579,0.521328,5.0,0.12242708830627488,0.0,0.0,0.069,0.003,0.235,1.701,0.056,0.209,0.044
0.46842105263157896,-6.368421052631579,0.503527,5.0,0.13311213019867546,0.0,0.0,0.07,0.003,0.245,1.701,0.056,0.221,0.049
0.4842105263157895,-6.368421052631579,0.487242,5.0,0.14457641841868799,0.0,0.0,0.071,0.003,0.256,1.701,0.056,0.233,0.054
0.5,-6.368421052631579,0.471976,5.0,0.15688691252284973,0.0,0.0,0.071,0.003,0.268,1.701,0.056,0.246,0.06
0.2,-6.157894736842105,1.172407,5.0,0.024228102218446523,0.0,0.0,0.053,0.003,0.15,1.731,0.062,0.09,0.011
0.21578947368421053,-6.157894736842105,1.088905,5.0,0.028473149322844143,0.0,0.0,0.055,0.003,0.155,1.731,0.062,0.098,0.012
0.23157894736842105,-6.157894736842105,1.015943,5.0,0.03302836255331485,0.0,0.0,0.058,0.003,0.16,1.731,0.062,0.106,0.013
0.2473684210526316,-6.157894736842105,0.952262,5.0,0.03790485316078234,0.0,0.0,0.06,0.003,0.165,1.731,0.062,0.113,0.014
0.26315789473684215,-6.157894736842105,0.896178,5.0,0.043116935067045926,0.0,0.0,0.063,0.003,0.17,1.731,0.062,0.121,0.016
0.2789473684210526,-6.157894736842105,0.846635,5.0,0.048681944119305216,0.0,0.0,0.065,0.003,0.176,1.731,0.062,0.129,0.017
0.2947368421052632,-6.157894736842105,0.801313,5.0,0.05462016800642899,0.0,0.0,0.066,0.003,0.182,1.731,0.062,0.138,0.019
0.3105263157894737,-6.157894736842105,0.761121,5.0,0.06095482532604533,0.0,0.0,0.068,0.003,0.189,1.731,0.062,0.146,0.021
0.3263157894736842,-6.157894736842105,0.724783,5.0,0.06771215529167847,0.0,0.0,0.07,0.003,0.196,1.731,0.062,0.155,0.024
0.34210526315789475,-6.157894736842105,0.691772,5.0,0.07492152789003594,0.0,0.0,0.071,0.003,0.203,1.731,0.062,0.164,0.026
0.35789473684210527,-6.157894736842105,0.66165,5.0,0.08261561584660812,0.0,0.0,0.072,0.003,0.211,1.731,0.062,0.173,0.029
0.37368421052631584,-6.157894736842105,0.634054,5.0,0.09083060719892676,0.0,0.0,0.074,0.003,0.219,1.731,0.062,0.183,0.032
