theta_0,theta_1,FB_y_0,FB_y_1,y_0,y_1,FB_surplus,SB_surplus,info_rents
3.0,0.3333333333333333,3.0,1.0,0.0,1.0,3.666666666666667,1.616879598298803,0.7625368172480231
1.0,0.4444444444444444,1.0,1.0,0.0,1.0,1.5555555555555556,1.1876761143841132,0.3333333333333337
1.2222222222222223,0.4444444444444444,1.222222,1.0,0.0,1.0,1.7777777777777533,1.2609807272454483,0.40663794619466875
1.4444444444444444,0.4444444444444444,1.444444,1.0,0.0,1.0,1.9999999999999012,1.3196784725698556,0.46533569151907606
1.6666666666666665,0.4444444444444444,1.666667,1.0,0.0,1.0,2.2222222222221664,1.3666799527179938,0.5123371716672142
1.8888888888888888,0.4444444444444444,1.888889,1.0,0.0,1.0,2.4444444444444384,1.4043157958650598,0.5499730148142803
2.111111111111111,0.4444444444444444,2.111111,1.0,0.0,1.0,2.6666666666666607,1.434452223163226,0.5801094421124463
2.333333333333333,0.4444444444444444,2.333333,1.0,0.0,1.0,2.8888888888888333,1.4585835876911504,0.6042408066403709
2.5555555555555554,0.4444444444444444,2.555556,1.0,0.0,1.0,3.111111111111012,1.4779064738520797,0.6235636928013002
2.7777777777777777,0.4444444444444444,2.777778,1.0,0.0,1.0,3.333333333333308,1.4933790315334392,0.6390362504826597
3.0,0.4444444444444444,3.0,1.0,0.0,1.0,3.5555555555555554,1.5057684871876917,0.6514257061369121
1.0,0.5555555555555556,1.0,1.0,0.0,1.0,1.4444444444444444,1.076565003273002,0.22222222222222254
1.2222222222222223,0.5555555555555556,1.222222,1.0,0.0,1.0,1.666666666666642,1.1498696161343371,0.2955268350835576
1.4444444444444444,0.5555555555555556,1.444444,1.0,0.0,1.0,1.88888888888879,1.2085673614587444,0.3542245804079649
1.6666666666666665,0.5555555555555556,1.666667,1.0,0.0,1.0,2.1111111111110556,1.2555688416068826,0.401226060556103
1.8888888888888888,0.5555555555555556,1.888889,1.0,0.0,1.0,2.333333333333327,1.2932046847539487,0.43886190370316913
