y_0,y_1
0.610252,9.2e-05
0.587716,8.3e-05
0.566787,7.6e-05
0.5473,6.9e-05
0.52911,6.3e-05
0.512093,5.8e-05
0.496139,5.3e-05
1.2285,0.00089
1.141126,0.000796
1.065409,0.000734
0.999239,0.000611
0.94074,0.000551
0.889038,0.000402
0.842595,0.000277
0.800681,0.00024
0.763099,0.000149
0.728199,0.000208
0.696679,0.000196
0.667802,0.000182
0.641394,9.8e-05
0.616834,8.6e-05
0.594085,7.8e-05
0.572957,7e-05
0.553283,6.4e-05
0.534918,5.8e-05
0.517735,5.3e-05
0.501624,4.8e-05
1.240873,0.001027
1.153195,0.000704
1.076816,0.000667
1.010103,0.000537
0.95107,0.000501
0.898811,0.000392
0.851991,0.000254
0.809677,0.00022
0.771678,0.000139
0.736483,0.000195
0.704697,0.000176
0.675515,0.000167
0.648824,9.2e-05
0.624014,8.1e-05
0.601035,7.3e-05
0.579691,6.6e-05
0.559814,6e-05
0.541257,5.4e-05
0.523894,4.9e-05
0.507611,4.4e-05
1.254712,0.000945
1.166285,0.000629
1.089207,0.00061
1.021915,0.000467
0.962268,0.000426
0.909403,0.000395
0.862212,0.000235
0.81946,0.000206
0.781008,0.000134
0.74556,0.000173
0.713414,0.00016
0.683912,0.000155
0.656919,8.7e-05
0.631842,7.7e-05
0.608612,6.9e-05
0.587033,6.2e-05
0.566935,5.5e-05
0.548171,5e-05
0.530611,4.5e-05
0.514142,4e-05
1.269721,0.000872
1.180472,0.000575
1.10266,0.000561
1.034732,0.00041
0.974523,0.000402
0.920995,0.000371
0.873316,0.000223
0.830083,0.000198
0.791227,0.000119
0.755414,0.000157
0.722893,0.000148
0.69305,0.000144
0.665574,0.000143
0.640367,7.3e-05
0.616866,6.5e-05
0.595032,5.8e-05
0.574694,5.1e-05
0.555703,4.6e-05
0.537929,4.1e-05
0.521259,3.6e-05
1.285991,0.000807
1.195647,0.000657
1.117253,0.000518
1.048613,0.000374
0.987794,0.000348
0.933621,0.000343
0.885361,0.00022
0.841649,0.000188
0.802333,0.000107
0.766415,0.000104
0.733197,0.000138
0.70299,0.000135
0.675176,0.000133
0.649645,7e-05
0.625849,6.1e-05
0.603738,5.4e-05
0.58314,4.7e-05
0.563904,4.2e-05
0.545898,3.7e-05
0.529009,3.2e-05
1.303616,0.000748
1.212316,0.000611
1.133073,0.000481
1.063665,0.000342
1.002172,0.000303
0.94731,0.000321
0.898393,0.000236
0.854258,0.000168
0.814387,9.8e-05
0.777991,9.6e-05
0.744392,0.00013
0.713793,0.000126
0.685616,0.000123
0.659583,0.000122
0.635618,5.7e-05
0.613207,5e-05
0.592327,4.3e-05
0.572825,3.7e-05
0.554569,3.2e-05
0.537357,5.9e-05
1.322692,0.000694
1.230364,0.000569
1.150209,0.000448
1.07997,0.000315
1.017718,0.000277
0.962151,0.000302
0.912593,0.000242
0.867915,0.000155
0.827316,0.000138
0.790563,8.9e-05
0.756548,0.000122
0.725527,0.000117
0.696956,0.000114
0.670556,0.000111
0.646233,5.4e-05
0.623499,4.6e-05
0.602314,3.9e-05
0.582525,3.2e-05
0.564047,2.8e-05
0.546579,3.8e-05
1.343318,0.000644
1.249902,0.000526
1.168751,0.00042
1.097613,0.000293
1.034529,0.000263
0.978214,0.000292
0.927941,0.000244
0.882707,0.000148
0.841528,0.00013
0.804208,8.3e-05
0.769738,0.000114
0.738262,0.000109
0.709267,0.000105
0.68247,0.000101
0.657633,9.5e-05
0.634556,8.5e-05
0.613076,6.2e-05
0.593049,3.2e-05
0.5742,3.9e-05
0.556532,3.6e-05
1.365605,0.000597
1.271025,0.000485
1.188796,0.000395
1.116685,0.000278
1.052693,0.000257
0.995789,0.000216
0.944646,0.000226
0.898722,0.000147
0.856929,0.000124
0.819009,7.8e-05
0.78425,7.7e-05
0.752075,0.0001
0.722622,9.5e-05
0.695399,8.9e-05
0.670169,7.8e-05
0.646743,5.3e-05
0.624803,7.8e-05
0.604355,7.7e-05
0.585205,7.6e-05
0.567341,3.4e-05
1.389664,0.000551
1.293829,0.000452
1.210526,0.000325
1.137277,0.00027
1.072431,0.000234
1.014666,0.000197
0.962754,0.000199
0.916213,5.4e-05
0.873611,0.000119
0.834929,0.000108
0.799712,7e-05
0.767048,9.2e-05
0.737103,8.5e-05
0.709426,7.4e-05
0.683907,3.2e-05
0.659848,7.4e-05
0.63758,7.2e-05
0.616767,7e-05
0.597272,6.9e-05
0.578973,6.9e-05
