theta_0,theta_1,FB_y_0,FB_y_1,y_0,y_1,FB_surplus,SB_surplus,info_rents,SB_profits,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.9111111111111112,6.222222222222222,0.26725,0.0,0.0,0.19368679812336986,4.627253208399251,4.570869960514755,1.524126160430368,3.046743800084387,0.445,0.375,5.205,6.229,0.075,5.183,5.039
1.0,6.222222222222222,0.243495,0.0,0.0,0.1262768906414914,5.052382411478494,5.0331104637529975,1.9470404164896222,3.0860700472633753,0.446,0.406,5.631,6.229,0.075,5.61,5.541
0.2,6.666666666666666,1.225399,0.0,10.0,1.0,0.4567741678858278,0.0,0.0,0.0,0.435,0.0,1.111,6.67,0.08,1.001,0.0
0.2888888888888889,6.666666666666666,0.848431,0.0,10.0,1.0,0.9004818806771537,0.0,0.0,0.0,0.466,0.0,1.558,6.67,0.08,1.482,0.0
0.37777777777777777,6.666666666666666,0.648799,0.0,10.0,1.0,1.4757285787780385,0.0,0.0,0.0,0.481,0.0,2.136,6.67,0.08,2.078,0.0
0.4666666666666667,6.666666666666666,0.52523,0.0,2.4285342313151737,0.9527877546414237,2.1398747945985948,0.19121804388685554,0.0,0.19121804388685554,0.491,0.016,2.801,6.67,0.08,2.754,0.211
0.5555555555555556,6.666666666666666,0.441215,0.0,0.0,0.6919014241469009,2.8252814668240354,1.7716233354560387,0.14189246732363067,1.629730868132408,0.498,0.164,3.487,6.67,0.08,3.448,1.977
0.6444444444444445,6.666666666666666,0.380398,0.0,0.8164103903621555,0.25371673354312047,3.476010731803764,3.304924541853458,0.5367574418897766,2.7681670999636814,0.503,0.349,4.139,6.67,0.08,4.105,3.742
0.7333333333333334,6.666666666666666,0.334345,0.0,0.1980204882230963,0.1842495103666759,4.065616679151763,4.010648409466885,1.0815592218800152,2.92908918758687,0.507,0.422,4.729,6.67,0.08,4.699,4.538
0.8222222222222222,6.666666666666666,0.298103,0.0,0.0018416686258319905,0.13439884411224073,4.590640260969887,4.570859799410803,1.5934590665093795,2.9774007329014234,0.51,0.462,5.254,6.67,0.08,5.228,5.148
0.9111111111111112,6.666666666666666,0.269021,0.0,0.0,0.10944490844670765,5.058346501655162,5.045436666151084,2.056594739115516,2.988841927035568,0.512,0.475,5.722,6.67,0.08,5.698,5.639
1.0,6.666666666666666,0.245108,0.0,0.0,0.09248086050466796,5.478759626063484,5.469516064288146,2.4742005884600085,2.9953154758281375,0.514,0.484,6.143,6.67,0.08,6.121,6.075
0.2,7.111111111111111,1.23355,0.0,10.0,1.0,0.5590165185086298,0.0,0.0,0.0,0.502,0.0,1.304,7.113,0.085,1.186,0.0
0.2888888888888889,7.111111111111111,0.854073,0.0,10.0,1.0,1.0903814286449527,0.0,0.0,0.0,0.534,0.0,1.84,7.113,0.085,1.758,0.0
0.37777777777777777,7.111111111111111,0.653296,0.0,10.0,1.0,1.7586119505807585,0.0,0.0,0.0,0.551,0.0,2.51,7.113,0.085,2.447,0.0
0.4666666666666667,7.111111111111111,0.528722,0.0,2.8860300975046402,0.7767279721761607,2.49773820648294,0.8768525322313041,0.06968621163301,0.8071663205982941,0.562,0.081,3.25,7.113,0.085,3.2,0.978
0.5555555555555556,7.111111111111111,0.444144,0.0,2.2513570543395076,0.35091389279325685,3.228331992942041,2.6442785811687792,0.4102276308599332,2.234050950308846,0.569,0.269,3.982,7.113,0.085,3.939,2.981
0.6444444444444445,7.111111111111111,0.382915,0.0,0.5394660551643614,0.08503944849174828,3.8990134029539463,3.87979437166602,0.9931251745182507,2.8866691971477696,0.574,0.513,4.653,7.113,0.085,4.617,4.521
0.7333333333333334,7.111111111111111,0.336543,0.0,0.05899831754934174,0.09799053805187596,4.4936225856056256,4.485183982570885,1.5816503910065123,2.903533591564373,0.578,0.543,5.248,7.113,0.085,5.216,5.164
0.8222222222222222,7.111111111111111,0.300206,0.0,0.0,0.08281675295036454,5.016697816580177,5.011731875476125,2.1020870798909224,2.9096447955852023,0.581,0.557,5.772,7.113,0.085,5.743,5.707
0.9111111111111112,7.111111111111111,0.270808,0.0,0.0,0.07191017581540673,5.47991070732934,5.476027225314394,2.5637994895409895,2.9122277357734045,0.584,0.563,6.235,7.113,0.085,6.21,6.18
1.0,7.111111111111111,0.246736,0.0,0.0,0.06537390035001286,5.8952942026315,5.89178510685732,2.9780928747876194,2.9136922320697005,0.586,0.567,6.651,7.113,0.085,6.628,6.601
0.2,7.555555555555555,1.242112,0.0,10.0,1.0,0.6751563787118853,0.0,0.0,0.0,0.572,0.0,1.517,7.556,0.091,1.391,0.0
0.2888888888888889,7.555555555555555,0.859781,0.0,10.0,1.0,1.3013055528779014,0.0,0.0,0.0,0.607,0.0,2.148,7.556,0.091,2.06,0.0
0.37777777777777777,7.555555555555555,0.657656,0.0,3.626239381913196,0.8645815704467738,2.0626331147296026,0.4221210378131217,0.0021344913771196294,0.4199865464360021,0.625,0.048,2.911,7.556,0.091,2.844,0.483
0.4666666666666667,7.555555555555555,0.532248,0.0,2.2109546553076007,0.3675894359952863,2.8691430693358377,2.350146724821066,0.2067338590262243,2.1434128657948417,0.637,0.307,3.719,7.556,0.091,3.665,2.733
0.5555555555555556,7.555555555555555,0.447093,0.0,1.4072564263742688,0.08599683713644694,3.635319949298942,3.557160755859826,0.8189165161937481,2.738244239666078,0.645,0.51,4.486,7.556,0.091,4.441,4.194
0.6444444444444445,7.555555555555555,0.38546,0.0,0.33214985659487095,0.03951564661346655,4.3188708115162395,4.3167966856232844,1.4960985422087951,2.8206981434144893,0.65,0.629,5.171,7.556,0.091,5.131,5.103
0.7333333333333334,7.555555555555555,0.338769,0.0,0.18816636714636878,0.04467862561729543,4.9145706074562145,4.912982080593806,2.0905580452459542,2.8224240353478516,0.654,0.638,5.767,7.556,0.091,5.732,5.711
0.8222222222222222,7.555555555555555,0.302178,0.0,0.09012379466809194,0.047893963531679136,5.433937968808018,5.432559569143619,2.6091257915998574,2.8234337775437615,0.658,0.644,6.287,7.556,0.091,6.256,6.238
