theta_0,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,SB_profits,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
5.142857142857142,0.06607,0.9562154092572006,1.7920911430182889,0.22140477042751056,0.010567490672362392,0.21083727975514815,0.297,0.014,2.186,5.172,0.061,2.163,0.239
5.224489795918367,0.065393,0.9318029931522606,1.860325392053704,0.34747627868064,0.017350039194694404,0.3301262394859456,0.306,0.022,2.267,5.251,0.062,2.243,0.375
5.3061224489795915,0.064728,0.9039923216734794,1.9293607279779144,0.4912340724620501,0.027850010766905013,0.46338406169514507,0.316,0.032,2.349,5.33,0.063,2.325,0.532
5.387755102040816,0.064076,0.87124386139564,1.9991480027603876,0.6584018989481344,0.04254223047539079,0.6158596684727436,0.326,0.045,2.432,5.409,0.064,2.407,0.714
5.469387755102041,0.063435,0.8395086070483829,2.069638891767421,0.8203654371128095,0.062122908782514745,0.7582425283302948,0.336,0.058,2.516,5.488,0.065,2.49,0.892
5.551020408163265,0.062806,0.8043495581280568,2.1407860387963065,0.9960037482817724,0.08636468088826615,0.9096390673935062,0.347,0.072,2.6,5.568,0.066,2.574,1.086
5.63265306122449,0.062189,0.7677190021664121,2.2125431817868892,1.175171789468348,0.11569514407492082,1.0594766453934272,0.357,0.088,2.685,5.648,0.067,2.659,1.286
5.714285714285714,0.061582,0.7378453648570905,2.284865259988624,1.3252746810734644,0.15021958510742356,1.1750550959660409,0.368,0.103,2.772,5.728,0.068,2.745,1.454
5.795918367346939,0.060987,0.7015593827990001,2.3577085034803438,1.4975519207766217,0.1888501573265467,1.308701763450075,0.379,0.12,2.859,5.808,0.069,2.831,1.648
5.877551020408163,0.060402,0.6604647637294935,2.4310305059097996,1.6819662346668833,0.23237139567530513,1.4495948389915783,0.39,0.141,2.946,5.888,0.07,2.918,1.858
5.959183673469388,0.059828,0.614694319215851,2.5047902817622183,1.8737111406982472,0.281251151555549,1.5924599891426983,0.401,0.164,3.034,5.969,0.071,3.006,2.079
6.040816326530612,0.059264,0.5697673320553059,2.578948309147794,2.0531476846027163,0.33582162811638555,1.7173260564863309,0.412,0.188,3.123,6.049,0.072,3.094,2.289
6.122448979591836,0.058711,0.5215812784534082,2.653466559473247,2.230553852440998,0.39563468012727104,1.8349191723137268,0.423,0.215,3.212,6.13,0.073,3.183,2.5
6.204081632653061,0.058167,0.4745801485590373,2.7283085150890405,2.393609589002982,0.46065931666146015,1.932950272341522,0.435,0.243,3.302,6.211,0.074,3.272,2.697
6.285714285714286,0.057633,0.4378533488079573,2.803439176278968,2.5273572355569693,0.5303225775794422,1.997034657977527,0.447,0.267,3.393,6.291,0.075,3.362,2.861
6.36734693877551,0.057109,0.39862442754076693,2.87882505861679,2.659441006573926,0.6033109558916616,2.056130050682264,0.459,0.293,3.483,6.372,0.076,3.452,3.025
6.448979591836734,0.056594,0.3544689854832692,2.9544341819366444,2.791328679107134,0.6795503490173107,2.111778330089823,0.471,0.322,3.575,6.453,0.077,3.543,3.194
6.530612244897959,0.056088,0.30910353214995934,3.0302360519879357,2.9155604836402675,0.759065135114031,2.156495348526237,0.483,0.354,3.666,6.534,0.078,3.634,3.358
