theta_0,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
5.551020408163265,0.401665,5.0,2.141217271982131,0.0,0.0,0.343,0.074,2.6,5.568,0.066,2.57,1.432
5.63265306122449,0.402158,5.0,2.212972258119056,0.0,0.0,0.354,0.078,2.685,5.648,0.067,2.655,1.494
5.714285714285714,0.40265,5.0,2.2852920982464067,0.0,0.0,0.364,0.083,2.772,5.728,0.068,2.741,1.558
5.795918367346939,0.403143,5.0,2.358133032456783,0.0,0.0,0.375,0.088,2.859,5.808,0.069,2.827,1.622
5.877551020408163,0.403635,5.0,2.4314526638666525,0.0,0.0,0.386,0.093,2.946,5.888,0.07,2.914,1.688
5.959183673469388,0.404128,1.3380504740923524,2.5052100158161545,2.4805143131375584,0.11714715063906941,0.397,0.331,3.034,5.969,0.071,3.002,2.894
6.040816326530612,0.40462,1.2664394087202107,2.579365574721016,2.5583146417752394,0.20401371757785744,0.409,0.347,3.123,6.049,0.072,3.09,2.991
6.122448979591836,0.405113,1.195488655596446,2.6538813197018003,2.6361610105819677,0.29158760656965355,0.42,0.362,3.212,6.13,0.073,3.179,3.089
6.204081632653061,0.405607,1.1055618841609502,2.7287207402979043,2.714856613204078,0.3798239339735253,0.432,0.38,3.302,6.211,0.074,3.268,3.19
6.285714285714286,0.4061,1.0419392629101616,2.8038488434272137,2.7923907014486167,0.46871417329568665,0.444,0.396,3.393,6.291,0.075,3.358,3.287
6.36734693877551,0.406595,0.982976050343334,2.8792321507685052,2.869797078328201,0.5581723576245415,0.456,0.412,3.483,6.372,0.076,3.449,3.384
6.448979591836734,0.407089,0.9271974561801981,2.9548386877826056,2.9471374513120034,0.6481543986183441,0.468,0.427,3.575,6.453,0.077,3.539,3.481
6.530612244897959,0.407585,0.8647092731251946,3.0306379653361515,3.0246819287558666,0.7386210433788057,0.48,0.444,3.666,6.534,0.078,3.631,3.58
6.612244897959183,0.408081,0.8160817668678298,3.106600955084718,3.1018408465472045,0.8295502065232571,0.492,0.46,3.758,6.616,0.079,3.722,3.677
6.6938775510204085,0.408577,0.7824673796154319,3.1827000594476105,3.178680697227402,0.9208902760215519,0.505,0.475,3.851,6.697,0.08,3.814,3.772
6.775510204081632,0.409075,0.7514686156018232,3.258909077128188,3.255518967897378,1.0125911594951815,0.518,0.49,3.943,6.778,0.081,3.906,3.868
6.857142857142857,0.409573,0.7206495228895372,3.335203164982608,3.3323890494877526,1.1046231160166657,0.531,0.505,4.036,6.859,0.082,3.998,3.964
6.938775510204081,0.410072,0.6866432402262445,3.41155879691548,3.4093231928736745,1.1969613810385455,0.544,0.521,4.129,6.941,0.083,4.091,4.06
7.020408163265306,0.410572,0.6557870139332063,3.487953720533487,3.486186822737281,1.289587154594929,0.557,0.536,4.223,7.022,0.084,4.184,4.156
7.1020408163265305,0.411073,0.6275108436584034,3.5643669120999677,3.5629825623816935,1.3824741338426865,0.57,0.552,4.316,7.103,0.085,4.277,4.253
7.183673469387754,0.411575,0.601127976294542,3.6407785303364215,3.6397104998558283,1.4755982107399799,0.584,0.567,4.41,7.185,0.086,4.371,4.349
7.26530612244898,0.412078,0.5786100418965305,3.717169869527021,3.7163402584360945,1.5689375037399333,0.598,0.583,4.504,7.266,0.087,4.464,4.445
7.346938775510203,0.412582,0.5571660047733927,3.7935233123322187,3.792893944684316,1.6624687967316376,0.611,0.599,4.598,7.348,0.088,4.558,4.541
7.428571428571429,0.413086,0.5358129273051667,3.869822282662106,3.8693659417859108,1.7561736971269806,0.625,0.614,4.693,7.429,0.089,4.652,4.637
7.5102040816326525,0.413592,0.5141097159485349,3.946051198895493,3.9457431684237734,1.850036118200154,0.64,0.631,4.787,7.511,0.09,4.746,4.734
7.591836734693877,0.4141,0.4918482049571937,4.022195427733109,4.022010010310591,1.9440414946952078,0.654,0.647,4.882,7.592,0.091,4.84,4.831
7.673469387755102,0.414608,0.4712431672187272,4.098241238862267,4.098142219865501,2.038176422606486,0.668,0.663,4.977,7.674,0.092,4.934,4.927
7.755102040816326,0.415117,0.4565720050951988,4.174175760610055,4.1741223201796345,2.1324256308098297,0.683,0.679,5.071,7.756,0.093,5.028,5.023
7.836734693877551,0.415627,0.4362982014228815,4.249986936761507,4.2499735479734415,2.2267695356843813,0.698,0.696,5.166,7.837,0.094,5.122,5.12
7.918367346938775,0.416139,0.4205099522687103,4.32566348461877,4.325662874417463,2.3212034437049525,0.713,0.712,5.261,7.919,0.095,5.217,5.216
8.0,0.416652,0.416652,4.4011948544139585,4.4011948544139585,2.415711161795447,0.728,0.728,5.356,8.0,0.096,5.311,5.311
