theta_0,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
-4.061224489795919,0.528724,1.9953219883981312,0.6158020071087276,0.5581821613075814,0.1205025640557682,0.25,0.114,1.01,2.088,0.155,0.928,0.7
-3.979591836734694,0.531903,1.756758750423269,0.6406632497573808,0.5977811701036674,0.15069577690877733,0.26,0.136,1.051,2.105,0.16,0.965,0.768
-3.8979591836734695,0.535185,1.5850501027445525,0.6661027742803007,0.632880132232524,0.18303712099281289,0.27,0.156,1.093,2.121,0.165,1.004,0.828
-3.8163265306122454,0.538568,1.4407869429849378,0.6921096233928056,0.6663753486365814,0.2172106207816712,0.281,0.177,1.135,2.138,0.17,1.043,0.887
-3.734693877551021,0.542063,1.3173117969375252,0.718671488909639,0.6988250720258614,0.2530968753126793,0.292,0.197,1.179,2.154,0.175,1.083,0.945
-3.653061224489796,0.545673,1.2022501580903786,0.7457747327473998,0.730939614916861,0.2906037115204585,0.303,0.218,1.224,2.171,0.181,1.124,1.004
-3.5714285714285716,0.549401,1.095664696101269,0.7734044145736694,0.7627265930703511,0.3297026431369998,0.315,0.24,1.27,2.189,0.186,1.167,1.063
-3.489795918367347,0.553251,0.9977742519898147,0.8015443259804905,0.7942078556289475,0.370360455833753,0.326,0.263,1.317,2.206,0.191,1.21,1.123
-3.408163265306123,0.557227,0.9041295415469812,0.8301770309220181,0.8255481657328826,0.4125384710755935,0.339,0.287,1.365,2.224,0.197,1.254,1.184
-3.3265306122448983,0.561332,0.8191723281710466,0.8592839120958293,0.8566400510380662,0.45622093824276333,0.351,0.311,1.414,2.242,0.203,1.299,1.245
-3.2448979591836737,0.565571,0.7520627600828628,0.8888452228787478,0.8874196173252464,0.501362094449566,0.364,0.334,1.464,2.26,0.209,1.344,1.305
-3.163265306122449,0.569946,0.6897294805092675,0.918840144433494,0.9182348065170566,0.5478556103634216,0.378,0.357,1.515,2.278,0.215,1.391,1.365
-3.0816326530612246,0.574463,0.6137529141691316,0.9492468474975383,0.9491797819622513,0.5956717038566794,0.392,0.384,1.567,2.296,0.221,1.439,1.43
-3.0,0.579126,0.5790122246235999,0.9800425583809196,0.9800425576638188,0.6448953747686337,0.406,0.406,1.62,2.315,0.227,1.487,1.487
