theta_0,theta_1,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,SB_profits,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.7333333333333334,4.444444444444445,0.06961045333090234,0.9897653189983775,1.861386861192286,0.05727023133907586,0.0011031623884551374,0.05616706895062072,0.221,0.002,2.21,4.513,0.053,2.138,0.06
0.8222222222222222,4.444444444444445,0.062092458096428126,0.8447839092671067,2.3227769061675008,0.9172980190102308,0.015018584494041032,0.9022794345161897,0.223,0.037,2.666,4.513,0.053,2.601,0.963
0.9111111111111112,4.444444444444445,0.056034661340642264,0.5731468062795589,2.776103946396219,2.2694383545739023,0.1877514714616897,2.0816868831122126,0.224,0.101,3.115,4.513,0.053,3.056,2.396
1.0,4.444444444444445,0.05105380620484282,0.41153604639068897,3.2072082816677567,2.9934392483794867,0.510000987157142,2.4834382612223447,0.225,0.14,3.542,4.513,0.053,3.489,3.168
0.2,4.888888888888889,0.24543296870011613,1.0,0.1532757951621454,0.0,0.0,0.0,0.217,0.0,0.728,4.929,0.058,0.424,0.0
0.2888888888888889,4.888888888888889,0.1699044565389526,1.0,0.32563257221591246,0.0,0.0,0.0,0.238,0.0,0.834,4.929,0.058,0.624,0.0
0.37777777777777777,4.888888888888889,0.12992689608485594,1.0,0.5693690731869471,0.0,0.0,0.0,0.25,0.0,1.042,4.929,0.058,0.882,0.0
0.4666666666666667,4.888888888888889,0.10517455139586783,1.0,0.8965678021163008,0.0,0.0,0.0,0.257,0.0,1.348,4.929,0.058,1.218,0.0
0.5555555555555556,4.888888888888889,0.08834436226621166,1.0,1.305667964003081,0.0,0.0,0.0,0.262,0.0,1.742,4.929,0.058,1.633,0.0
0.6444444444444445,4.888888888888889,0.07615674505756864,0.9956784630303065,1.7755055932525312,0.02292222897081672,0.0006536664471761507,0.02226856252364057,0.265,0.001,2.201,4.929,0.058,2.107,0.024
0.7333333333333334,4.888888888888889,0.06693206139249419,0.8876651085187058,2.272317184753876,0.6643951246042642,0.010200780569365936,0.6541943440348983,0.268,0.032,2.69,4.929,0.058,2.607,0.705
0.8222222222222222,4.888888888888889,0.05969616677986155,0.6167530381378624,2.76457553782934,2.102572641173995,0.18569689181341342,1.9168757493605817,0.27,0.11,3.176,4.929,0.058,3.102,2.24
0.9111111111111112,4.888888888888889,0.05387215411764652,0.3608379815311567,3.2324748612785577,3.079033437353905,0.554878466814372,2.524154970539533,0.272,0.183,3.639,4.929,0.058,3.572,3.308
1.0,4.888888888888889,0.049083521291594844,0.2400959268949703,3.668035544156372,3.6144504472807606,0.957424866162798,2.6570255811179626,0.273,0.218,4.07,4.929,0.058,4.009,3.887
0.2,5.333333333333333,0.23636861813991092,1.0,0.20001273807310593,0.0,0.0,0.0,0.261,0.0,0.867,5.356,0.064,0.526,0.0
0.2888888888888889,5.333333333333333,0.16363310714350043,1.0,0.4223951189871905,0.0,0.0,0.0,0.286,0.0,1.015,5.356,0.064,0.779,0.0
0.37777777777777777,5.333333333333333,0.12512814941907657,1.0,0.7335248011750278,0.0,0.0,0.0,0.299,0.0,1.287,5.356,0.064,1.107,0.0
0.4666666666666667,5.333333333333333,0.10129202179677822,1.0,1.140112600908596,0.0,0.0,0.0,0.307,0.0,1.67,5.356,0.064,1.524,0.0
0.5555555555555556,5.333333333333333,0.08508304585462205,0.9988907847093226,1.6272880264520089,0.005381470563697773,0.0003117610231777666,0.005069709540520006,0.312,0.0,2.14,5.356,0.064,2.018,0.006
0.6444444444444445,5.333333333333333,0.07335275601028499,0.9643707378413245,2.1593098742526324,0.21133948924323684,0.007025639790513689,0.20431384945272316,0.316,0.012,2.661,5.356,0.064,2.555,0.227
